,date,vault_address,vault_name,market_uniqueKey,vault_supplyUsd
918,2025-05-01,0x1265a81d42d513df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,468125.5516064704
917,2025-05-02,0x1265a81d42d513df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,421148.3152168746
916,2025-05-03,0x1265a81d42d513df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,218814.66035525023
915,2025-05-04,0x1265a81d42d513df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,265243.8068736111
914,2025-05-05,0x1265a81d42d513df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,253066.68438808355
913,2025-05-06,0x1265a81d42d513df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,211110.178516086
912,2025-05-07,0x1265a81d42d513df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,244668.36156513004
911,2025-05-08,0x1265a81d42d513df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,245139.8840176456
910,2025-05-09,0x1265a81d42d513df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1321301.1841373807
909,2025-05-10,0x1265a81d42d513df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1307590.292937024
908,2025-05-11,0x1265a81d42d513df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1307566.6634693118
907,2025-05-12,0x1265a81d42d513df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1302494.0799190132
906,2025-05-13,0x1265a81d42d513df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1225953.3943616215
905,2025-05-14,0x1265a81d42d513df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1221159.032540346
